"Trait","Microbial_Feature","Estimate","CI_Low","CI_High","Std_Error","T_value","P_value","P_adj","R2_Marginal","Heritability_h2","Var_Prop_Cage","Var_Prop_Dam"
"lesionArea","g_Lachnoclostridium",0.220720399739503,0.041873363673702,0.399567435805305,0.0912484877886742,2.41889378211591,0.0155677853071956,0.0596851998390886,0.194662993138203,0.360812003979732,0,0.0144470238355004
"lesionArea","g_Lachnospiraceae.FCS020.group",0.0693140403175411,-0.222971832429261,0.361599913064344,0.149125445278981,0.464803576531622,0.642072126308614,0.761153304033677,0.184245741810492,0.36311229827954,0,0.0211929225225791
"lesionArea","g_Lachnospiraceae.NK4A136.group",0.164097696766424,0.0123132005546037,0.315882192978244,0.0774410694958267,2.11900091043122,0.0340903900089511,0.103834032985126,0.193405591937148,0.335154561848562,3.36996121920202e-10,0.0267887259071789
"lesionArea","g_Lachnospiraceae.UCG.004",0.186665080991083,-0.135248781796011,0.508578943778177,0.164241766728109,1.13652626070502,0.255736381433154,0.464975238969372,0.18730548739162,0.349507902914444,0,0.0195503392002728
"lesionArea","g_Lachnospiraceae.UCG.006",0.239531691653895,0.0554261383903915,0.423637244917398,0.0939314047262771,2.55007036626257,0.0107701178775546,0.0444257976594343,0.19345674387951,0.380175467423113,0,0.0112651899471666
"lesionArea","g_Marvinbryantia",-0.0919414350021464,-0.259358655755096,0.0754757857508037,0.08541694936375,-1.07638396930581,0.281755568779575,0.48578546341306,0.18538143201223,0.371887709248009,0,0.0170025929107604
"lesionArea","g_Roseburia",0.149904151263068,0.0194492499151673,0.280359052610969,0.0665586231366842,2.25221232349152,0.0243088576182255,0.0826490241858996,0.19227619734012,0.380297140858951,0,0.00250096402615828
"lesionArea","g_Tyzzerella",0.132263898969979,-0.043157314583786,0.307685112523744,0.0895006191600842,1.47779870364256,0.139461665478756,0.309914812175014,0.188083673648945,0.358014913181805,3.47027766143449e-09,0.0151278320900691
"lesionArea","g_Romboutsia",-0.0094193088846942,-0.125619279713708,0.106780661944319,0.0592856994025579,-0.158879948783868,0.873763458570282,0.914935558712337,0.18384160868882,0.364023593963745,0,0.0229490563925215
"lesionArea","g_Terrisporobacter",-0.124148289767132,-0.245886182470096,-0.00241039706416772,0.0621111697464101,-1.99880778729509,0.0456291549027261,0.130369014007789,0.193346545314914,0.360646713889439,0,0.0107199725732834
"lesionArea","g_Anaerotruncus",-0.132954607298076,-0.469754587952604,0.203845373356453,0.171836724823739,-0.773726381449911,0.439092615610571,0.597404919198055,0.185124667284868,0.365002041054328,1.25293608147296e-08,0.0237145739146229
"lesionArea","g_GCA.900066225",0.0644939600760653,-0.295252734779257,0.424240654931388,0.183544232069042,0.351381023250053,0.725302517134588,0.819550866818744,0.184023980316559,0.363316133816133,1.7552482159969e-07,0.0222576291384002
"lesionArea","g_Intestinimonas",0.0701186693940032,-0.0938933024522365,0.234130641240243,0.0836795774725713,0.837942440818213,0.402063031198113,0.571472034102386,0.185750357094295,0.356663008712827,1.20911766480012e-10,0.022047375131237
"lesionArea","g_Oscillibacter",0.163092515409286,-0.00436778829419407,0.330552819112767,0.0854389304609594,1.90887824238168,0.0562778003977831,0.155682430428266,0.191583614600163,0.352501760757867,0,0.0178421244696107
"lesionArea","g_Ruminiclostridium",0.18292185614158,0.0383936984961382,0.327450013787022,0.0737388559415521,2.48067119845974,0.0131135274496692,0.0524541097986768,0.196326054550316,0.353488123388455,0,0.0147523410724748
"lesionArea","g_Ruminiclostridium.5",0.042666480320403,-0.174630720484726,0.259963681125532,0.110865918778127,0.384847577962983,0.700350346723074,0.800400396254942,0.184123011573566,0.365433893444279,0,0.02147037702859
"lesionArea","g_Ruminiclostridium.9",0.0836224252247774,-0.113479858275445,0.280724708725,0.10056238954093,0.831547714871495,0.405664284909715,0.571472034102386,0.185793131536343,0.354956825580677,4.12606525845643e-10,0.0220100129784059
"lesionArea","g_Ruminococcaceae.NK4A214.group",0.0349059831871164,-0.256076519347766,0.325888485721999,0.148460460476981,0.235119728680409,0.814115806590167,0.885255472519271,0.18400562984974,0.362461941366014,0,0.0229897803584551
"lesionArea","g_Ruminococcaceae.UCG.010",0.137091843774126,-0.270017266258562,0.544200953806813,0.207708729608514,0.660019653639566,0.509241217141374,0.657905315647535,0.183906674323564,0.371207937461412,0,0.0201971654718793
"lesionArea","g_UBA1819",-0.105556864995394,-0.257305041303445,0.0461913113126577,0.0774225389326793,-1.36338676631592,0.172760649590216,0.359918019979617,0.186928201995351,0.378219780792082,0,0.0102009458311134
"lesionArea","g_Dubosiella",-0.122358367592031,-0.237207319349943,-0.00750941583411932,0.0585964039581182,-2.08815489222661,0.0367838647908674,0.109269597322848,0.190775593910501,0.374582787178388,8.34223753481965e-08,0.0118599277266848
"lesionArea","g_Erysipelatoclostridium",-0.163209973467548,-0.301104471451073,-0.0253154754840228,0.0703543357058801,-2.31982822138859,0.0203501717592696,0.0726791848545342,0.194626370701523,0.357361503132112,0,0.0227180716811883
