SampleID,ID,Sex,ngen,Cage_ID,Dam_ID,folChol,liverTC,lesionArea,folGLC,folTG,shannon,faith_pd,observed_otus,UWU_PC1,UWU_PC2,UWU_PC3,WU_PC1,WU_PC2,WU_PC3,Bray_PC1,Bray_PC2,Bray_PC3,g_Bifidobacterium,g_Coriobacteriaceae UCG-002,g_Enterorhabdus,g_Alistipes,g_Staphylococcus,g_Lactobacillus,g_Lactococcus,g_Clostridium sensu stricto 1,g_Clostridium sensu stricto 13,g_[Eubacterium] brachy group,g_[Eubacterium] nodatum group,g_A2,g_Acetatifactor,g_Blautia,g_GCA-900066575,g_Lachnoclostridium,g_Lachnospiraceae FCS020 group,g_Lachnospiraceae NK4A136 group,g_Lachnospiraceae UCG-004,g_Lachnospiraceae UCG-006,g_Marvinbryantia,g_Roseburia,g_Tyzzerella,g_Romboutsia,g_Terrisporobacter,g_Anaerotruncus,g_GCA-900066225,g_Intestinimonas,g_Oscillibacter,g_Ruminiclostridium,g_Ruminiclostridium 5,g_Ruminiclostridium 9,g_Ruminococcaceae NK4A214 group,g_Ruminococcaceae UCG-010,g_UBA1819,g_Dubosiella,g_Erysipelatoclostridium,g_Faecalibaculum,g_Escherichia-Shigella,g_Akkermansia
576,576,Male,Wave 1,179158,108,558.3,11.10518834,32091,363.9,501,5.108820003,4.219304051,79,-0.161119749,-0.022265007,0.031339481,-0.00275707,0.031117103,0.035692523,0.362381138,0.10159605,0.105352195,1,1,51,6,6,1,564,1,1,1,1,1048,1,821,184,254,6,65,1,47,1,1,72,1,1,1,1,52,237,273,48,258,1,1,1,1,83,23,1,1
582,582,Male,Wave 1,179528,115,570.6,12.47629504,11686,327.6,351,3.443747286,4.779134523,74,0.047812214,0.123854743,0.016493037,-0.010343571,-0.000680084,0.005691309,-0.255272251,0.112298078,0.047726965,113,1,33,6,1,4,94,9,1,11,1,329,1,388,60,85,1,46,1,2,1,1,1,18,1,1,1,22,22,36,19,40,1,1,59,1,474,2965,81,1
587,587,Female,Wave 1,179212,117,1089.3,12.79300099,145850,386.7,363,5.30047649,5.647564354,86,-0.082684741,0.011215085,-0.231353264,0.06442591,0.012475549,0.012677554,0.223707985,0.099805071,0.226296551,19,6,49,39,1,14,67,1,1,11,1,1080,16,377,331,208,3,152,1,71,1,1,62,1,1,1,9,51,154,345,28,208,1,5,8,1,51,486,1,16
588,588,Female,Wave 1,179212,117,909,17.14979244,139552,359.4,252,5.53421889,5.277885865,93,-0.129685325,-0.074481044,-0.134401177,0.098828041,0.009418601,-0.012791859,0.293570015,-0.011376936,0.054414096,1,1,54,190,1,40,304,1,1,6,1,322,106,263,227,149,3,93,1,19,1,180,91,1,1,12,1,1,90,275,30,172,1,6,4,1,159,29,1,93
590,590,Male,Wave 1,179213,117,635.1,9.196811772,12218,401.4,297,2.613580759,4.547901576,57,0.146283401,0.061338538,0.069993499,-0.028869336,-0.004944985,-0.014397261,-0.414766258,0.072375723,-0.052895972,115,540,4,1,1,82,24,7,186,6,1,1,4,1,59,18,1,11,1,5,42,1,19,1,1,3,1,2,11,4,5,46,1,1,1,1,449,3625,67,1
595,595,Female,Wave 1,179982,123,782.4,17.43562232,17527,247.5,285,3.353176818,3.794122113,44,0.140222299,-0.023823883,0.130460281,-0.009696336,-0.00969896,-0.003942568,-0.358299246,-0.076452809,0.019782746,115,1,7,2,1,109,294,24,80,1,1,9,1,1,23,1,1,1,1,1,1,1,1,1,158,1,1,4,4,1,2,7,1,1,1,1519,458,2313,148,1
600,600,Male,Wave 1,179983,123,492.6,12.38032354,4800,438.3,297,4.989431624,5.854579788,108,-0.142478991,0.221741474,-0.138258632,0.081419975,0.007592744,0.000140768,0.339054802,-0.022885092,-0.050501639,1,1,69,9,1,4,1366,1,1,9,1,584,51,535,97,119,1,109,9,11,1,1,1,1,1,1,1,1,100,60,41,124,1,2,2,1,195,140,5,1
603,603,Female,Wave 1,179984,125,760.2,12.19274288,23897,283.8,705,4.886211393,4.94107485,86,-0.028566997,0.13309703,0.144437256,-0.011280786,0.000948883,0.015771687,0.037501135,-0.120022392,0.189084303,1,1,32,85,1,89,391,45,119,15,7,454,1,136,463,277,3,126,1,18,1,1,40,288,5,4,1,28,56,41,37,148,17,1,1,1,932,827,29,1
607,607,Male,Wave 1,179985,125,303.6,11.22866554,1,271.8,144,4.780663707,6.046292535,119,-0.133141484,0.214801294,0.115207066,0.011179405,0.022988014,0.027240696,0.382101189,0.042230594,-0.135390728,1,1,40,198,5,174,1799,44,1,28,3,513,138,729,155,147,7,43,8,10,1,34,60,37,1,4,4,36,88,134,21,100,13,4,1,1,31,5,3,1
610,610,Male,Wave 1,179985,125,666,13.41201717,47922,342.6,390,4.43301482,5.147262312,79,-0.044416599,0.043027055,0.232162596,-0.095159121,0.008404187,-0.026524904,0.383976428,0.066484231,-0.177349397,1,1,16,37,1,194,1681,118,1,14,1,779,333,848,47,166,8,68,13,64,1,26,36,348,1,1,5,20,59,101,19,49,1,8,1,1,22,11,31,1
612,612,Female,Wave 1,180001,126,565.8,15.32801962,107018,277.2,255,3.225600992,4.379720209,51,0.267888849,0.017161768,-0.000989738,-0.044517607,-0.020421008,-0.021480146,-0.420447365,-0.023078967,-0.058242035,102,1,15,14,1,267,201,185,88,3,1,1,1,1,14,1,1,7,1,1,6,1,1,69,166,1,1,1,1,1,2,10,1,1,23,673,254,3004,108,342
613,613,Male,Wave 1,180002,126,361.2,10.72961373,1,446.7,297,4.036876678,4.541906459,61,0.172096053,0.014924663,-0.07972894,-0.029843613,-0.007861434,-0.013734827,-0.276546376,-0.20480465,0.026504678,46,1,12,30,1,3,396,208,55,6,1,1,1,10,12,12,1,1,1,1,50,1,9,1,216,1,4,1,1,1,16,9,1,1,104,1425,143,1550,58,612
614,614,Male,Wave 1,180002,126,561,11.92179304,1,344.85,426,4.616145917,4.961061436,69,0.198165086,0.029048779,0.015094161,-0.032034565,-0.02051915,0.004736388,-0.065057799,-0.356387915,0.025750438,4,1,13,22,1,11,649,207,70,13,1,1,1,1,69,129,1,20,1,9,19,1,1,203,89,1,1,10,4,5,12,31,1,1,146,670,584,555,75,422
616,616,Female,Wave 1,180003,128,940.5,12.14673253,2561,241.2,771,4.02142535,5.217576877,70,0.251196874,0.133354179,-0.071429427,-0.012845226,-0.010880667,0.003391738,-0.295570555,-0.040400516,-0.040964887,58,452,12,1,1,27,514,89,125,6,1,1,1,1,19,37,1,16,1,9,154,1,1,154,180,1,1,1,7,10,4,29,12,1,46,1,254,2357,103,1
618,618,Female,Wave 1,180003,128,852.9,11.04519061,11247,251.1,732,4.734038786,5.80412529,102,-0.02499132,0.197457762,0.10110389,0.051675723,-0.035323754,0.00902759,-0.122231695,-0.13124948,0.063791193,11,390,6,11,1,39,592,360,21,4,1,46,1,46,42,76,1,97,2,12,149,1,9,413,145,1,1,1,28,13,14,56,4,1,1,1,441,1387,22,1
619,619,Male,Wave 1,180004,128,875.1,11.44928295,30114,292.5,963,5.324058488,6.567749434,125,-0.08323932,0.24147265,0.059374969,0.069691301,-0.009664503,0.003041495,0.060520605,-0.023439271,0.124631241,80,1,24,64,1,3,465,67,1,3,1,121,5,440,47,123,3,137,5,25,91,1,1,605,1,1,5,31,55,94,41,151,6,1,1,1,218,962,1,1
620,620,Female,Wave 1,180005,129,2218.8,17.11188397,39575,302.7,1638,4.42938347,4.771235689,90,-0.118819571,0.040886676,-0.086139799,0.098660485,0.002425786,-0.021428172,0.354276446,-0.039436929,-0.16806784,1,1,65,1,1,2,1940,1,1,5,10,387,1,376,145,199,14,99,1,20,1,2,18,1,1,1,3,15,115,84,22,42,1,1,1,1,122,14,1,4
621,621,Female,Wave 1,180005,129,932.1,13.18469484,14484,301.8,684,4.875259965,4.944258842,84,-0.080977531,0.105935071,-0.148839692,0.15885989,0.001473363,-0.055129725,0.356773955,-0.049634814,-0.042385204,1,1,113,94,5,30,1106,1,1,3,13,533,1,294,204,126,15,77,1,10,8,5,1,1,1,1,1,1,154,44,20,56,1,1,8,1,264,4,6,1
622,622,Male,Wave 1,180006,129,626.1,8.568788746,2975,414,390,4.853153616,4.130390792,74,-0.131763269,0.06399901,-0.02980876,0.089308828,0.01122862,0.004066879,0.39588466,0.03305345,-0.043071852,1,1,30,117,3,1,1383,1,1,1,4,952,1,186,210,243,1,179,1,49,1,1,39,1,1,1,7,1,97,107,31,116,1,1,1,1,45,1,1,1
626,626,Female,Wave 1,180007,130,1512.9,15.40955164,51638,262.2,1080,4.342802191,5.330146843,99,-0.190467625,-0.054468928,-0.071129784,0.098754041,0.018994148,-0.01222767,0.392205235,0.029828078,-0.117379685,1,1,68,123,6,13,1784,1,1,2,4,646,1,660,38,146,5,30,18,15,1,33,69,4,1,2,1,27,49,15,17,79,11,5,1,1,14,20,1,1
627,627,Female,Wave 1,180007,130,1127.1,14.63129146,211840,309.6,798,4.504029377,4.683372217,66,0.07174554,0.017422461,0.09806675,-0.019564379,-0.010692148,0.023374581,0.077664362,0.082211277,0.087873751,1,1,29,17,4,11,722,183,1,1,1,541,1,491,86,117,1,41,1,19,1,1,44,713,1,1,1,35,45,55,39,71,1,1,6,1,21,1279,6,4
628,628,Male,Wave 1,180008,130,226.8,5.624394296,408,292.8,267,3.024946665,3.424420361,36,0.26615419,0.039677933,0.074124204,-0.043411354,-0.014335235,-0.025477665,-0.450162056,0.074032482,-0.063572395,302,1,5,1,1,440,97,108,211,1,1,11,1,107,1,1,1,1,1,1,1,1,1,1,57,1,1,3,1,1,1,3,1,1,1,1354,28,2839,63,1
630,630,Male,Wave 1,180008,130,303.6,6.09637144,21343,305.1,267,3.541585405,2.728757055,33,0.299350585,-0.016104162,0.112031745,-0.022556629,-0.013818685,-0.012276334,-0.349559989,-0.077547153,0.029022752,155,1,1,1,1,1,170,278,139,1,1,1,1,146,1,1,1,1,1,1,1,1,1,1,194,1,1,1,1,1,1,1,1,1,1,2098,106,1816,128,1
633,633,Male,Wave 1,180009,131,403.5,7.258268114,6373,365.7,429,2.82620227,3.998994702,47,0.186520578,-0.061113354,-0.024293675,-0.05437951,-0.006185053,-0.026784343,-0.301710847,-0.003885101,-0.200954813,152,1,14,1,1,9,841,297,1,1,7,24,1,3,29,6,1,13,1,1,1,1,1,56,319,1,1,1,6,1,4,12,1,1,1,2,364,3035,185,1
638,638,Male,Wave 1,180009,131,444,7.990137887,917,361.5,321,4.748460838,5.218506128,88,-0.156623385,0.086525017,-0.006747398,-0.005911995,0.025421985,0.027797914,0.405803261,0.073735764,-0.057899168,1,1,23,1,1,4,1592,1,1,7,1,765,102,518,262,148,1,221,7,27,1,15,36,1,1,1,10,27,96,195,28,227,22,1,1,1,79,15,2,1
642,642,Female,Wave 1,180010,133,1076.4,8.083955553,66760,323.1,735,4.189981634,4.54256042,62,0.167206254,0.002726969,-0.060169862,-0.020461239,-2.25E-05,0.004779409,-0.106640017,-0.079953664,0.038070257,17,1,28,1,1,15,700,27,385,5,1,294,1,181,33,99,3,158,1,18,1,17,32,73,215,1,1,31,11,11,12,61,1,1,1,1,476,1725,107,1
